week_start,approving,disapproving,unsure_or_no_data,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,orders_outcome_var
2008-07-20,31.5,63.0,5.5,209704,1086952,220411,166232,578433,477725,419,477,921,1087,923,499771,375038,457528,0
2008-07-27,31.5,63.0,5.5,209704,1086952,220411,166232,578433,477725,419,477,921,1087,923,499771,375038,457528,4
2008-02-24,32.0,62.666666666666664,5.333333333333333,210463,1096648,235037,153660,570114,473714,477,593,1014,1274,1103,502105,371833,435091,0
2008-02-10,32.0,62.666666666666664,5.3333333333333339,210463,1096648,235037,153660,570114,473714,477,593,1014,1274,1103,502105,371833,435091,6
2008-02-17,32.0,62.666666666666664,5.333333333333333,210463,1096648,235037,153660,570114,473714,477,593,1014,1274,1103,502105,371833,435091,3
2008-02-03,32.0,62.666666666666664,5.333333333333333,210463,1096648,235037,153660,570114,473714,477,593,1014,1274,1103,502105,371833,435091,3
2008-04-13,28.0,68.0,4.0,219159,1101252,231086,157363,571883,477888,458,536,1008,1022,1013,499734,372572,442932,0
2008-04-06,28.0,68.0,4.0,219159,1101252,231086,157363,571883,477888,458,536,1008,1022,1013,499734,372572,442932,0
2008-04-27,28.0,68.0,4.0,219159,1101252,231086,157363,571883,477888,458,536,1008,1022,1013,499734,372572,442932,2
2008-04-20,28.0,68.0,4.0,219159,1101252,231086,157363,571883,477888,458,536,1008,1022,1013,499734,372572,442932,2
2005-06-12,46.25,51.0,2.75,209615,1105896,210020,107033,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,0
2005-06-05,46.25,51.0,2.75,209615,1105896,210020,107033,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,0
2005-06-26,46.25,51.0,2.75,209615,1105896,210020,107033,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,8
2005-06-19,46.25,51.0,2.75,209615,1105896,210020,107033,458507,400506,455,1274,2178,1965,2068,463147,343998,354277,8
2006-11-26,37.5,59.0,3.5,202280,1121749,224809,127388,522206,426451,543,1003,1535,1893,1570,484834,359266,400298,0
2006-11-12,37.5,59.0,3.5,202280,1121749,224809,127388,522206,426451,543,1003,1535,1893,1570,484834,359266,400298,0
2006-11-19,37.5,59.0,3.5,202280,1121749,224809,127388,522206,426451,543,1003,1535,1893,1570,484834,359266,400298,0
2006-11-05,37.5,59.0,3.5,202280,1121749,224809,127388,522206,426451,543,1003,1535,1893,1570,484834,359266,400298,2
